The Stadio Oreste Granillo	belongs to	Reggina Calcio
Estadio El Sadar 	belongs to	CA Osasuna
Estadio Nuevo Los Cármenes	belongs to	Granada CF
Stadio Artemio Franchi	belongs to	ACF Fiorentina
Anoeta	belongs to	Real Sociedad
Estadio Municipal de Ipurua	belongs to	SD Eibar
Estadio El Madrigal	belongs to	Villarreal CF
Stadio Angelo Massimino 	belongs to	Calcio Catania
Estadio Ramón Sánchez Pizjuán	belongs to	Sevilla Fútbol Club
Stadio Cino e Lillo Del Duca	belongs to	Ascoli Calcio
Stadio Dino Manuzzi	belongs to	A.C. Cesena
Stadio San Paolo	belongs to	
Estadio José Rico Pérez	belongs to	
Stadio Ennio Tardini	belongs to	Parma F.C.
The Iberostar Stadium	belongs to	
Stadio Via del Mare	belongs to	U.S. Lecce
Stadio Armando Picchi	belongs to	A.S. Livorno
Stadio Città del Tricolore	belongs to	
The Stadio Giuseppe Meazza	belongs to	
Stadio Renzo Barbera 	belongs to	U.S. Città di Palermo
Campo de Fútbol de Vallecas previously known as Estadio Teresa Rivero	belongs to	Rayo
Estadio La Rosaleda 	belongs to	
Estadio de La Romareda	belongs to	Real Zaragoza
Nou Estadi	belongs to	Gimnàstic de Tarragona
Stadio Friuli	belongs to	Udinese Calcio
Stadio Olimpico di Torino 	belongs to	
Stadio Marc'Antonio Bentegodi	belongs to	
The Estadio Benito Villamarín	belongs to	Real Betis
Stadio Carlo Castellani	belongs to	Empoli F.C.
Estadio Coliseum Alfonso Pérez	belongs to	Getafe CF
Estadio San Mamés	belongs to	Athletic Bilbao
Atleti Azzurri d'Italia	belongs to	
Camp Nou 	belongs to	Futbol Club Barcelona
Estadio Municipal de Riazor	belongs to	
Estadio José Zorrilla	belongs to	
Estadio Mestalla	belongs to	Valencia Club
Estadi Ciutat de València 	belongs to	Levante UD
Stadio Marc'Antonio Bentegodi	belongs to	Chievo Verona
Stadio Artemio Franchi	belongs to	A.C. Siena
Stadio Adriatico - Giovanni Cornacchia	belongs to	
The Vicente Calderón Stadium	belongs to	
Stadio Renato Dall'Ara	belongs to	Bologna F.C.
Mediterráneo Stadium	belongs to	UD Almería
Stadio Comunale Luigi Ferraris	belongs to	Sampdoria
